1,Blues U16,2006-2007
2,HIFK U16,2006-2007
3,Jokerit U16,2006-2007
4,Kiekkoreipas U16,2006-2007
1,Blues U16,2007-2008
2,Jokerit U16,2007-2008
3,Kiekkoreipas U16,2007-2008
4,Kärpät U16,2007-2008
5,TPS U16,2007-2008
1,Blues U16,2008-2009
2,Jokerit U16,2008-2009
3,Kiekkoreipas U16,2008-2009
1,HIFK U16,2009-2010
2,Tappara U16,2009-2010
3,Jokerit U16,2009-2010
4,TPS U16,2009-2010
5,Blues U16,2009-2010
6,Kärpät U16,2009-2010
7,Ässät U16,2009-2010
8,JYP U16,2009-2010
9,KalPa U16,2009-2010
10,HPK U16,2009-2010
11,Ilves U16,2009-2010
12,Kiekko-Vantaa U16,2009-2010
13,Jokipojat U16,2009-2010
14,Lukko U16,2009-2010
1,Tappara U16,2010-2011
2,Blues U16,2010-2011
3,Jokerit U16,2010-2011
4,Kärpät U16,2010-2011
5,TPS U16,2010-2011
6,Ässät U16,2010-2011
7,JYP U16,2010-2011
8,HPK U16,2010-2011
9,Ilves U16,2010-2011
10,HIFK U16,2010-2011
11,KalPa U16,2010-2011
12,Pelicans U16,2010-2011
13,Lukko U16,2010-2011
14,Ketterä U16,2010-2011
1,Blues U16,2011-2012
2,Kärpät U16,2011-2012
3,Ilves U16,2011-2012
4,Jokerit U16,2011-2012
5,Tappara U16,2011-2012
6,Lukko U16,2011-2012
7,JYP U16,2011-2012
8,SaiPa U16,2011-2012
9,HPK U16,2011-2012
10,KooKoo U16,2011-2012
1,Jokerit U16,2012-2013
2,Ilves U16,2012-2013
3,HIFK U16,2012-2013
4,JYP U16,2012-2013
5,Blues U16,2012-2013
6,KalPa U16,2012-2013
7,Kärpät U16,2012-2013
8,TPS U16,2012-2013
9,Tappara U16,2012-2013
10,HPK U16,2012-2013
1,Blues U16,2013-2014
2,Kärpät U16,2013-2014
3,HIFK U16,2013-2014
4,Jokerit U16,2013-2014
5,Blues U16 Akatemia,2013-2014
6,JYP U16,2013-2014
7,Ilves U16,2013-2014
8,TPS U16,2013-2014
9,KalPa U16,2013-2014
10,Ässät U16,2013-2014
1,Kärpät U16,2014-2015
2,TPS U16,2014-2015
3,Tappara U16,2014-2015
4,Blues U16,2014-2015
5,HIFK U16,2014-2015
6,Ilves U16,2014-2015
7,KalPa U16,2014-2015
8,HPK U16,2014-2015
9,Lukko U16,2014-2015
10,Blues U16 Akatemia,2014-2015
1,HIFK U16,2015-2016
2,Kärpät U16,2015-2016
3,Blues U16,2015-2016
4,Jokerit U16,2015-2016
5,TPS U16,2015-2016
6,Tappara U16,2015-2016
7,JYP U16,2015-2016
8,KalPa U16,2015-2016
9,HPK U16,2015-2016
10,KooKoo U16,2015-2016
